2026-06-05T16:33:25 supervisor started
2026-06-05T16:33:27 backend unhealthy; restarting
2026-06-05T16:33:34 frontend port missing; restarting
2026-06-05T16:33:40 localhost shortcut missing; restarting
2026-06-05T17:15:15 backend unhealthy; restarting
2026-06-05T17:46:50 supervisor started
2026-06-05T17:46:52 backend unhealthy; restarting
2026-06-05T17:47:00 frontend port missing; restarting
2026-06-05T17:47:06 localhost shortcut missing; restarting
2026-06-05T17:50:23 supervisor started
2026-06-05T17:50:26 backend unhealthy; restarting
2026-06-05T17:50:33 frontend port missing; restarting
2026-06-05T17:50:39 localhost shortcut missing; restarting
